"","Fish.code","Species","Site","Date","Weight..g.","Fork.length..cm.","del13C","Std..error","del15N","Std..error.1"
"277","D80","Dolly varden","RK14","11/6/93",10.6,10,-24.97,0.09,12.1,0.11
"278","D81","Dolly varden","RK14","11/7/93",1.6,6.1,-29.35,0.03,12.17,0.04
"279","D82","Dolly varden","RT02-BP","11/7/93",12,11,-38.12,0.13,7.01,0.05
"280","D83","Dolly varden","RT02-BP","11/7/93",6.3,9,-26.51,0.06,8.6,0.05
"281","D84","Dolly varden","RP06","11/12/93",8.4,9.6,-24.49,0.12,12.33,0.01
"282","D85","Dolly varden","RP06","11/12/93",13.1,11.1,-23.65,0.1,12.14,0
"283","D86","Dolly varden","RT02-R","11/7/93",14.2,10.5,-24.55,0.11,12.85,0.04
"284","D87","Dolly varden","RT02-R","11/7/93",7.9,9.1,-27.79,0.01,9.17,0.07
"285","D88","Dolly varden","RT02-R","11/7/93",3,7.1,-25.58,0.09,8.21,0.04
"286","D89","Dolly varden","RT03","4/21/93",6.9,9.4,-23.12,0.01,13.55,0.04
"287","D90","Dolly varden","RK02","4/20/93",18.3,12.9,-21.7,0.06,14.25,0.04
"288","D91","Dolly varden","RT02","4/19/93",7.5,9.2,-25.8,0.06,10.09,0.05
"289","D92","Dolly varden","RT02","4/19/93",2.1,6.5,-27.4,0.05,8.2,0.08
"290","D93","Dolly varden","RP06","4/9/93",11.1,11.1,-23.49,0.09,12.25,0.02
"291","D94","Dolly varden","RP06","4/9/93",2.7,7.4,-24.91,0.03,7.95,0.09
"292","D95","Dolly varden","RP06","4/9/93",1.2,5.7,-24.41,0.02,11,0.01
"293","D96","Dolly varden","RK32","10/25/93",2.4,6.4,-25.33,0.03,7.09,0
"294","D97","Dolly varden","RK32","10/25/93",2.1,6,-27.92,0.01,9.49,0.09
"295","D98","Dolly varden","BP04","10/23/93",19,11.5,-27.8,0.01,12.15,0.04
"296","D99","Dolly varden","BP04","10/23/93",28.2,14.2,-22.23,0.13,14.4,0.04
"297","P01","Pink","RT02R","4/20/93",0.2,3.3,-21.83,0.06,12.9,0.13
