gene_id,ERR188044,ERR188104,ERR188234,ERR188245,ERR188257,ERR188273,ERR188337,ERR188383,ERR188401,ERR188428,ERR188454,ERR204916
NM_144967|ARHGAP36,3,0,0,0,0,0,0,0,0,0,0,0
NM_001303543|VBP1,267,195,143,206,175,99,3,242,3,163,232,165
NM_000044|AR,4,4,13,0,0,0,0,0,0,8,0,4
NR_033254|XAGE1B,0,0,0,0,0,0,0,0,0,0,0,0
NM_001163280|HTATSF1,586,326,866,1253,1364,409,1970,899,1970,550,768,932
NM_001190255|ZNF630,0,6,3,0,0,3,0,4,0,0,0,8
NM_002910|RENBP,342,396,200,280,226,132,685,253,685,106,113,271
NM_000533|PLP1,0,0,0,0,0,0,0,0,0,0,0,0
NM_198510|ITIH6,0,0,0,0,0,0,0,0,0,0,0,0
NR_033941|LINC00633,0,0,0,0,0,0,0,0,0,0,0,0
NM_006639|CYSLTR1,850,934,907,530,950,541,837,823,837,686,575,558
NR_037478|MIR3915,0,0,0,0,0,0,0,0,0,0,0,0
NM_001167970|TRMT2B,175,0,185,221,130,95,0,152,0,126,197,7
NM_005367|MAGEA12,0,0,0,0,0,0,0,0,0,0,0,0
NR_030586|MIR509-2,0,0,0,0,0,0,0,0,0,0,0,0
NR_033669|ARMCX6,806,761,897,612,520,356,619,617,619,550,699,606
NR_049877|MIR4666B,0,0,0,0,0,0,0,0,0,0,0,0
NM_001171581|ITM2A,273,350,276,494,320,190,375,314,375,127,263,341
NM_001145408|NONO,2303,6331,5782,5438,6074,1420,6581,5445,6581,5272,2038,4366
NR_003710|SNORA11C,0,0,0,0,0,0,0,0,0,0,0,0
NR_110652|LOC101928358,0,0,0,0,0,0,0,0,0,0,0,0
NM_004065|CDR1,0,2,3,10,5,0,0,0,0,2,0,0
NR_027401|FAM223A,0,0,0,0,0,0,0,0,0,0,0,0
NM_001011551|C1GALT1C1,980,916,1038,808,898,394,1175,1076,1175,601,1207,690
NM_001171136|ZBED1,5413,4688,346,1802,3062,2327,5490,3037,5490,2999,3261,4441
NR_026975|FIRRE,152,148,110,100,135,21,352,83,352,149,17,138
NM_001142419|MORF4L2,196,351,208,298,188,119,268,202,268,132,282,230
NM_001080144|CT47A3,0,0,0,0,0,0,0,0,0,0,0,0
NR_027291|NAP1L6,74,3,1,3,0,0,0,0,0,0,0,0
NM_001029891|PGAM4,9850,10250,9286,4032,4109,5141,8525,6589,8525,4691,6854,10263
NM_001171095|CLDN2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001171878|MCF2,0,0,0,0,0,0,7,0,7,0,0,0
NM_001011719|ARSH,0,0,0,0,0,0,0,0,0,0,0,0
NM_001184833|ADGRG2,0,0,0,0,0,0,0,0,0,0,0,0
NR_029962|MIR450A1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001098791|MID1IP1,0,0,0,32,57,0,0,41,0,0,0,0
NM_001271184|TRO,1,431,0,0,0,0,0,62,0,0,0,18
NM_001281463|SMC1A,1615,1629,20,6,364,998,11,9,11,3,14,1397
NR_030737|TTC3P1,41,36,51,22,27,26,43,20,43,25,27,23
NR_110384|PLS3-AS1,0,0,0,0,0,0,0,0,0,0,0,0
NM_003147|SSX2,0,0,0,0,0,0,0,0,0,0,0,0
NM_001282462|SPIN2B,8,16,6,0,0,0,12,0,12,0,10,0
NM_015129|SEPT6,299,436,616,179,4708,623,513,0,513,559,724,567
NM_001097642|GJB1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170782|FAM122C,54,0,0,0,0,0,0,0,0,8,23,0
NR_109801|DLG3-AS1,6,5,4,0,4,0,9,4,9,5,0,4
NM_001178099|ZNF182,73,35,104,415,30,111,4,2,4,1,254,50
NM_173494|PIH1D3,0,0,0,0,0,0,0,0,0,0,0,0
NM_001171080|RBM41,575,1112,500,416,724,269,881,659,881,407,644,565
NM_001271804|PFKFB1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001004486|OR13H1,0,0,0,0,0,0,0,0,0,0,0,0
NM_001170703|MBNL3,0,0,0,0,0,0,0,0,0,0,0,0
NM_001278697|SSX2,0,0,0,0,0,0,0,0,0,0,0,0
